doctor_id,Doctor,hospital_id
26613,Matthew Smith,29934
33649,Samantha Davies,16013
37829,Tiffany Mitchell,5474
22512,Kevin Wells,12318
21260,Kathleen Hanna,33599
37122,Taylor Newton,22731
21959,Kelly Olson,10759
36660,Suzanne Thomas,25108
9261,Daniel Ferguson,29685
14680,Heather Day,23797
18734,John Duncan,27910
11559,Douglas Mayo,18819
22138,Kenneth Fletcher,25161
37437,Theresa Freeman,26295
32894,Roberta Stewart,21710
25489,Maria Dougherty,5029
13098,Erica Spencer,4453
20615,Justin Kim,31518
20638,Justin Moore Jr.,13186
10637,Denise Galloway,11330
22926,Krista Smith,15280
14411,Gregory Smith,33960
39124,Vanessa Newton,4934
11420,Donna Martinez MD,39104
35879,Stephanie Kramer,34199
2373,Angela Contreras,9118
39642,Wendy Glenn,3044
15697,James Ellis,28242
16260,Jared Bruce Jr.,9092
4694,Brandy Mitchell,10988
15358,Jacob Huynh,11851
23168,Kristina Frazier,5927
18795,John Hartman,10551
14698,Heather Garcia,17985
25096,Lynn Young,24981
12787,Emma Allison,29812
23703,Laura Myers,16711
38699,Travis Parsons,7482
7486,Christine Johnson,36291
12764,Emily Taylor,32661
40012,William Reynolds,23731
17194,Jennifer Carter,20288
26624,Matthew Thomas,36836
26212,Mary Logan,37547
23118,Kristin Martinez,9223
9375,Daniel Murphy,10429
12725,Emily Patterson,18573
14809,Heather Smith,22335
18990,John Smith,16297
5869,Cameron Young,17878
39240,Vicki Nguyen,7786
26241,Mary Moss,1771
602,Alexander Garcia,6585
30722,Patrick Burns,22270
21672,Kayla Powers,21060
20307,Julia Cox,10541
31122,Penny Pruitt,37727
29267,Mrs. Lori Hurst PhD,11228
36018,Stephen Carr,31001
15331,Jacob Daniel,13597
38859,Tyler Braun,20855
8047,Cindy Ellis,28190
26787,Megan Hahn,21863
12912,Eric Kelly,37494
17343,Jennifer Larson,15982
39906,William Hess,29735
30577,Patricia Dunn,25931
15238,Jack Jackson,3363
19201,Jonathan Drake,4814
15105,Ian Benitez,14337
16019,Jamie Baker,31734
13169,Erika Jackson,20620
1281,Amanda Garcia,7539
31654,Raven Wong,29998
8996,Cynthia Scott,29579
25912,Mark Padilla,28670
20498,Julie Ramirez,17663
15400,Jacob Rich,15547
25827,Mark Hartman Jr.,13289
37907,Timothy Baker,39071
24873,Lori Sanchez,28374
8372,Connie Boyd,14166
15972,James Tucker,4924
20187,Juan Acevedo,24385
20413,Julie Finley,15868
28329,Miguel Parker,16520
17720,Jermaine Peters,37780
24495,Lisa Edwards,10654
26635,Matthew Walker,17676
14336,Gregory Hansen,18645
17966,Jessica Cruz,13865
32804,Robert Salazar,6575
23395,Kyle Patterson,32594
19002,John Summers,29583
34476,Scott Grant,25109
10133,David Ruiz,14515
23413,Kyle Smith,15880
16590,Jason Price,12172
35811,Stephanie Clements,24048
36271,Steven James,18721
17582,Jeremiah Wolf,12356
32911,Roberto Petersen,25645
7318,Christina Hammond,31410
30568,Patricia Colon,10783
11178,Dominic Mitchell,22406
39631,Wendy Davis,18616
9231,Daniel Carson,24876
13236,Erin Henderson MD,7557
7617,Christopher Butler,30620
33861,Samuel Robles,5884
4025,Benjamin Webb,30479
23275,Krystal Fox,11182
5566,Bruce Garrett,25451
19333,Jonathan Watson,8939
7720,Christopher Guerra,35490
36181,Steven Adams,10946
39388,Victoria Patel,13447
24907,Louis Bell,17062
27404,Michael Baker,5756
11528,Douglas Fleming,14579
30723,Patrick Carter,5023
34339,Sarah Shaffer,15001
26405,Matthew Carter,16019
5216,Brian Wagner,23419
24942,Lucas Cole,3944
20362,Julia Yoder,34719
8724,Crystal Chavez,11078
4797,Brenda Lopez,20538
27478,Michael Cole,7017
27662,Michael Larson,15826
38485,Tracey Spence,17518
36493,Susan Gibson,26727
14057,Gerald Hooper,36996
38253,Todd Sanchez,12982
12502,Elizabeth Morales,38825
22803,Kimberly Petersen,29917
28471,Misty Garcia,27387
27113,Melissa Fernandez,15287
21001,Kari Moore,9909
9976,David Hubbard,1431
24760,Lonnie Morgan,17491
39339,Victoria Gonzales,37430
8082,Cindy White,14393
11554,Douglas Li,24380
24845,Lori Mendoza,18196
33534,Ryan Ross,11377
5219,Brian Walton,31202
27424,Michael Berg,22165
34454,Scott Davis,36199
9432,Daniel Shelton,29551
37012,Tara Moreno,24549
23067,Kristie Morgan,560
19735,Joseph Jones,26775
25567,Maria Tran,31197
21952,Kelly Murphy,26540
21096,Katherine Brown,34566
12404,Elizabeth Frank,32359
1149,Alyssa Edwards,28970
17888,Jesse Thomas,29643
13083,Erica Mccormick,6884
1537,Amber Holmes,3208
3654,Austin Jackson,21590
34819,Shane Morris,9773
4912,Brent Smith,32286
21622,Kayla Davis,35505
33259,Rose Zuniga,14571
13352,Ethan Wagner,11456
