hospital_id,Hospital
29934,Sons and Miller
16013,Kim Inc
5474,Cook PLC
12318,"Hernandez Rogers and Vang,"
33599,White-White
22731,Nunez-Humphrey
10759,Group Middleton
25108,"Powell Robinson and Valdez,"
29685,Sons Rich and
23797,Padilla-Walker
27910,Schaefer-Porter
18819,Lyons-Blair
25161,"Powers Miller, and Flores"
26295,Rivera-Gutierrez
21710,Morris-Arellano
5029,Cline-Williams
4453,Cervantes-Wells
31518,"Torres, and Harrison Jones"
13186,Houston PLC
11330,Hammond Ltd
15280,Jones LLC
33960,Williams-Davis
4934,Clark-Mayo
39104,and Sons Smith
34199,Wilson Group
9118,Garner-Bowman
3044,"Brown, and Jones Weaver"
28242,Serrano-Dixon
9092,Gardner-Miller
10988,Guerrero-Boone
11851,Hart Ltd
5927,Cruz-Santiago
10551,Group Duncan
17985,Lopez-Phillips
24981,Poole Inc
29812,Sons and Cox
16711,LLC Martin
7482,Espinoza-Stone
36291,"and Garcia Morris Cunningham,"
32661,Walton-Meyer
23731,PLC Young
20288,Meadows Group
36836,"and Howell Brooks, Rogers"
37547,"and Mcclure White Boone,"
9223,"Gates Brown, and Stuart"
10429,Group Armstrong
18573,Ltd Schwartz
22335,Nelson-Phillips
16297,"Knight and Nguyen, Riggs"
17878,Lopez PLC
7786,"Fernandez and Phillips, Singh"
1771,Beck-Galloway
6585,"Decker Glover, and Christensen"
22270,"Nelson Walker Myers, and"
21060,Mitchell-Navarro
10541,Group Delgado
37727,"and Montes Graves, Thomas"
11228,Hall-Bentley
31001,Taylor-Nguyen
13597,Hunter-Grant
20855,Miller-Lawson
28190,Scott-Kelly
21863,"Moss and Ferguson, Baker"
37494,"and Mason Smith Chase,"
15982,"Khan, and Rodriguez Fischer"
29735,Sons Watson and
25931,Rhodes-Carey
3363,Bullock-Ramsey
4814,"Clark Brown, and Myers"
14337,"Jackson and Lane, Dillon"
31734,"Turner Cook, Banks and"
20620,"Miles, and Weaver Hudson"
7539,Evans Ltd
29998,Sons and Schaefer
29579,Sons Hodges and
28670,Simpson-Mccall
17663,"Lin Thompson Wells, and"
15547,Jones-Scott
13289,Howe-Kelly
39071,and Sons Reyes
28374,Shaw-Young
14166,Inc Skinner
4924,Clark-Johnson
24385,Perez and Sons
15868,Kemp LLC
16520,LLC Dixon
37780,"and Morales Jennings Cook,"
10654,Group Hood
17676,Lindsey Inc
18645,Ltd Wang
13865,Inc Ford
6575,Dean-Hawkins
32594,Walter PLC
29583,Sons Horn and
25109,"Powell Ward, and Mercado"
14515,James Ltd
15880,Kemp-Munoz
12172,Henderson-Taylor
24048,"Parsons, Hartman Martinez and"
18721,Luna Inc
12356,"Hernandez, Ritter and Huffman"
25645,Reed LLC
31410,Thompson-Walker
10783,Group Nguyen
22406,Newton-White
18616,Ltd Thomas
24876,"Pierce Ward, Torres and"
7557,"Evans and Hall Schneider,"
30620,Stout-Brown
5884,Cruz Ltd
30479,Stewart Sons and
11182,"Hall Roberts and Duarte,"
25451,Ramirez-Robinson
8939,"Garcia, and Bishop Hernandez"
35490,"and Brown Oneal, Shah"
10946,Group White
13447,"Hughes and Erickson, Anderson"
17062,Lane-Kelly
5756,Cox-Hester
14579,"Jarvis Scott, Fleming and"
5023,Cline-Carpenter
15001,"Johnson, and Ross Harris"
16019,"Kim Rosario, and Hammond"
23419,PLC Jimenez
3944,Cantu-Berry
34719,Wright-Alexander
11078,Guzman-Carlson
20538,Meyer-Hill
7017,Dudley-Atkinson
15826,Kelly-Allen
17518,"Lewis Livingston, Lowe and"
26727,Rodriguez Ltd
36996,"and Johnson Moore, Branch"
12982,"Holmes and Hughes, Phillips"
38825,"and Smith, Tucker Cross"
29917,Sons and Lozano
27387,Russell Ltd
15287,Jones Ltd
9909,Gordon-Ward
1431,Barnes and Sons
17491,Levine-Miller
37430,"and Marquez Silva Smith,"
14393,Jackson-Copeland
24380,"Perez and Ochoa White,"
18196,Ltd Conrad
11377,Hampton-Thomas
31202,Thomas-Kelley
22165,Myers-Monroe
36199,"and Ford Lee, Rodriguez"
29551,Sons Garcia and
24549,"Perry Little, and Moore"
560,Anderson Group
26775,Rodriguez and Sons
31197,Thomas-Huber
26540,Robinson Inc
34566,Wood-Mathews
32359,"Walker and Gardner Fernandez,"
28970,"Smith and Johnston, Collins"
29643,Sons Miller and
6884,Donaldson-Frey
3208,Brown-Yoder
21590,"Morgan Rios and Keller,"
9773,Gonzalez-King
32286,Wagner Ltd
35505,"and Brown White, Jones"
14571,James-Smith
11456,Hanson Group
19837,Mcclain-Reed
34971,Young-Smith
11866,Hart-Brock
15344,"Jones and Jones, Turner"
30141,Spears-Shah
35163,"and Anderson Smith Sanchez,"
31617,"Tran, and Ferrell Garcia"
18644,Ltd Walton
10851,Group Rodriguez
4078,Carr LLC
26848,Rodriguez-Guerra
